X,Y,Object Type,Radius,Width,Height,Theta,HP,R,G,B
570,150,0,30,0,0,0,300,0,0,0
2580,150,0,30,0,0,0,300,0,0,0
1470,390,0,30,0,0,0,300,0,0,0
3690,450,0,30,0,0,0,300,0,0,0
2490,3690,0,30,0,0,0,300,0,0,0
2130,750,0,30,0,0,0,300,0,0,0
150,810,0,30,0,0,0,300,0,0,0
1290,1170,0,30,0,0,0,300,0,0,0
1290,1950,0,30,0,0,0,300,0,0,0
3210,1290,0,30,0,0,0,300,0,0,0
2250,1410,0,30,0,0,0,300,0,0,0
210,1890,0,30,0,0,0,300,0,0,0
2430,2190,0,30,0,0,0,300,0,0,0
3510,2220,0,30,0,0,0,300,0,0,0
1530,2550,0,30,0,0,0,300,0,0,0
330,2730,0,30,0,0,0,300,0,0,0
2790,2790,0,30,0,0,0,300,0,0,0
1830,3630,0,30,0,0,0,300,0,0,0
3330,3390,0,30,0,0,0,300,0,0,0
990,3450,0,30,0,0,0,300,0,0,0
630,450,3,85,0,0,0,-1000,0,85,0
550,543,3,85,0,0,0,-1000,0,85,0
670,560,3,85,0,0,0,-1000,0,85,0
630,450,3,75,0,0,0,-1000,0,113,0
550,543,3,75,0,0,0,-1000,0,113,0
670,560,3,75,0,0,0,-1000,0,113,0
630,450,3,55,0,0,0,-1000,0,132,0
550,543,3,55,0,0,0,-1000,0,132,0
670,560,3,55,0,0,0,-1000,0,132,0
1540,1054,3,85,0,0,0,-1000,0,85,0
1540,1054,3,75,0,0,0,-1000,0,113,0
1540,1054,3,55,0,0,0,-1000,0,132,0
1060,200,3,90,0,0,0,-1000,0,85,0
1060,200,3,80,0,0,0,-1000,0,113,0
1060,200,3,60,0,0,0,-1000,0,132,0
200,460,3,90,0,0,0,-1000,0,85,0
200,460,3,80,0,0,0,-1000,0,113,0
200,460,3,60,0,0,0,-1000,0,132,0
925,990,3,90,0,0,0,-1000,0,85,0
925,990,3,80,0,0,0,-1000,0,113,0
925,990,3,60,0,0,0,-1000,0,132,0
324,846,3,90,0,0,0,-1000,0,85,0
324,846,3,80,0,0,0,-1000,0,113,0
324,846,3,60,0,0,0,-1000,0,132,0
589,1476,3,85,0,0,0,-1000,0,85,0
589,1476,3,75,0,0,0,-1000,0,113,0
589,1476,3,55,0,0,0,-1000,0,132,0
1650,1590,3,60,0,0,0,-1000,0,85,0
1650,1590,3,55,0,0,0,-1000,0,113,0
1650,1590,3,45,0,0,0,-1000,0,132,0
2130,1950,3,160,0,0,0,-1000,0,85,0
2130,1950,3,140,0,0,0,-1000,0,113,0
2130,1950,3,120,0,0,0,-1000,0,132,0
990,690,3,98,0,0,0,-1000,0,85,0
990,690,3,88,0,0,0,-1000,0,113,0
990,690,3,68,0,0,0,-1000,0,132,0
1830,390,3,85,0,0,0,-1000,0,85,0
1770,570,3,85,0,0,0,-1000,0,85,0
1950,510,3,85,0,0,0,-1000,0,85,0
1830,390,3,75,0,0,0,-1000,0,113,0
1770,570,3,75,0,0,0,-1000,0,113,0
1950,510,3,75,0,0,0,-1000,0,113,0
1830,390,3,55,0,0,0,-1000,0,132,0
1770,570,3,55,0,0,0,-1000,0,132,0
1950,510,3,55,0,0,0,-1000,0,132,0
1300,670,3,90,0,0,0,-1000,0,85,0
1300,670,3,80,0,0,0,-1000,0,113,0
1300,670,3,60,0,0,0,-1000,0,132,0
1973,1121,3,90,0,0,0,-1000,0,85,0
1973,1121,3,80,0,0,0,-1000,0,113,0
1973,1121,3,60,0,0,0,-1000,0,132,0
450,1170,3,85,0,0,0,-1000,0,85,0
450,1170,3,75,0,0,0,-1000,0,113,0
450,1170,3,55,0,0,0,-1000,0,132,0
1530,210,3,85,0,0,0,-1000,0,85,0
1530,210,3,75,0,0,0,-1000,0,113,0
1530,210,3,55,0,0,0,-1000,0,132,0
167,1403,3,85,0,0,0,-1000,0,85,0
167,1403,3,75,0,0,0,-1000,0,113,0
167,1403,3,55,0,0,0,-1000,0,132,0
435,260,3,80,0,0,0,-1000,0,85,0
435,260,3,70,0,0,0,-1000,0,113,0
435,260,3,60,0,0,0,-1000,0,132,0
621,883,3,80,0,0,0,-1000,0,85,0
621,883,3,70,0,0,0,-1000,0,113,0
621,883,3,50,0,0,0,-1000,0,132,0
1070,450,3,75,0,0,0,-1000,0,85,0
1070,450,3,65,0,0,0,-1000,0,113,0
1070,450,3,45,0,0,0,-1000,0,132,0
1173,1783,3,80,0,0,0,-1000,0,85,0
1173,1783,3,70,0,0,0,-1000,0,113,0
1173,1783,3,50,0,0,0,-1000,0,132,0
2261,1563,3,75,0,0,0,-1000,0,85,0
2261,1563,3,65,0,0,0,-1000,0,113,0
2261,1563,3,45,0,0,0,-1000,0,132,0
201,140,3,45,0,0,0,-1000,61,94,0
201,140,3,30,0,0,0,-1000,84,130,0
340,160,3,60,0,0,0,-1000,61,94,0
340,160,3,40,0,0,0,-1000,84,130,0
340,160,3,20,0,0,0,-1000,98,151,0
2398,165,3,35,0,0,0,-1000,61,94,0
2398,165,3,15,0,0,0,-1000,84,130,0
3302,167,3,40,0,0,0,-1000,61,94,0
3302,167,3,20,0,0,0,-1000,84,130,0
3587,199,3,65,0,0,0,-1000,61,94,0
3587,199,3,45,0,0,0,-1000,84,130,0
3587,199,3,25,0,0,0,-1000,98,151,0
3204,641,3,70,0,0,0,-1000,61,94,0
3204,641,3,50,0,0,0,-1000,84,130,0
3204,641,3,20,0,0,0,-1000,98,151,0
2500,621,3,80,0,0,0,-1000,61,94,0
2500,621,3,60,0,0,0,-1000,84,130,0
2500,621,3,40,0,0,0,-1000,98,151,0
2980,810,3,70,0,0,0,-1000,61,94,0
2980,810,3,55,0,0,0,-1000,84,130,0
2980,810,3,35,0,0,0,-1000,98,151,0
3411,1021,3,80,0,0,0,-1000,61,94,0
3411,1021,3,60,0,0,0,-1000,84,130,0
3411,1021,3,40,0,0,0,-1000,98,151,0
2453,941,3,45,0,0,0,-1000,61,94,0
2453,941,3,25,0,0,0,-1000,84,130,0
2193,1012,3,50,0,0,0,-1000,61,94,0
2193,1012,3,35,0,0,0,-1000,84,130,0
2193,1012,3,20,0,0,0,-1000,98,151,0
2134,1254,3,48,0,0,0,-1000,61,94,0
2134,1254,3,35,0,0,0,-1000,84,130,0
2134,1254,3,20,0,0,0,-1000,98,151,0
960,1320,3,90,0,0,0,-1000,61,94,0
960,1320,3,70,0,0,0,-1000,84,130,0
960,1320,3,50,0,0,0,-1000,98,151,0
1151,1489,3,55,0,0,0,-1000,61,94,0
1151,1489,3,35,0,0,0,-1000,84,130,0
1151,1489,3,20,0,0,0,-1000,98,151,0
399,1632,3,46,0,0,0,-1000,61,94,0
399,1632,3,30,0,0,0,-1000,84,130,0
671,1711,3,46,0,0,0,-1000,61,94,0
671,1711,3,30,0,0,0,-1000,84,130,0
1025,1678,3,56,0,0,0,-1000,61,94,0
1025,1678,3,40,0,0,0,-1000,84,130,0
1025,1678,3,20,0,0,0,-1000,98,151,0
145,2031,3,51,0,0,0,-1000,61,94,0
145,2031,3,35,0,0,0,-1000,84,130,0
145,2031,3,20,0,0,0,-1000,98,151,0
476,1931,3,70,0,0,0,-1000,61,94,0
476,1931,3,55,0,0,0,-1000,84,130,0
476,1931,3,35,0,0,0,-1000,98,151,0
756,1999,3,40,0,0,0,-1000,61,94,0
756,1999,3,25,0,0,0,-1000,84,130,0
1113,2017,3,88,0,0,0,-1000,61,94,0
1113,2017,3,68,0,0,0,-1000,84,130,0
1113,2017,3,48,0,0,0,-1000,98,151,0
504,2241,3,85,0,0,0,-1000,61,94,0
504,2241,3,65,0,0,0,-1000,84,130,0
504,2241,3,45,0,0,0,-1000,98,151,0
936,2441,3,70,0,0,0,-1000,61,94,0
936,2441,3,55,0,0,0,-1000,84,130,0
936,2441,3,35,0,0,0,-1000,98,151,0
553,2734,3,70,0,0,0,-1000,61,94,0
553,2734,3,55,0,0,0,-1000,84,130,0
553,2734,3,35,0,0,0,-1000,98,151,0
952,2801,3,91,0,0,0,-1000,61,94,0
952,2801,3,70,0,0,0,-1000,84,130,0
952,2801,3,50,0,0,0,-1000,98,151,0
134,3078,3,67,0,0,0,-1000,61,94,0
134,3078,3,50,0,0,0,-1000,84,130,0
134,3078,3,35,0,0,0,-1000,98,151,0
381,3381,3,85,0,0,0,-1000,61,94,0
381,3381,3,65,0,0,0,-1000,84,130,0
381,3381,3,45,0,0,0,-1000,98,151,0
659,3549,3,80,0,0,0,-1000,61,94,0
659,3549,3,60,0,0,0,-1000,84,130,0
659,3549,3,40,0,0,0,-1000,98,151,0
921,3651,3,85,0,0,0,-1000,61,94,0
921,3651,3,65,0,0,0,-1000,84,130,0
921,3651,3,45,0,0,0,-1000,98,151,0
1247,3539,3,50,0,0,0,-1000,61,94,0
1247,3539,3,35,0,0,0,-1000,84,130,0
1247,3539,3,20,0,0,0,-1000,98,151,0
